filename,category,document_id,subject,processed_date
cir-189-01-2023-cgst.pdf,circulars,Circular No. 189/01/2023-GST,Clarification regarding GST rates and classi fication of certain goods based on the recommendations of the GST Council in its 48th meeting held on ...,2025-12-18
cir-190-02-2023-cgst.pdf,circulars,Circular No. 190/02/2023-,"Clarifications regarding applicability of GST on certain services – reg. Madam/Sir, Representations have been received seeking clarifications on th...",2025-12-18
cir-191-03-2023-cgst.pdf,circulars,Circular No. 191/03/2023-GST,Clarification regarding GST rate and classif ication of ‘Rab’ based on the recommendation of the GST Council in its 49 th meeting held on 18th Febr...,2025-12-18
cir-244012025-cgst.pdf,circulars,Circular No. 244/01/2025-GST,Regularizing payment of GST on co- insurance premium apportioned by the lead insurer to the co -insurer and on ceding /re- insurance commission ded...,2025-12-18
cir-245022025-cgst.pdf,circulars,Circular No. 245/02/2025-GST,Clarifications regarding applicability of GST on certain services – reg. Based on the recommendations of the GST Council in its 55 th meeting held ...,2025-12-18
cir-252-09-2025-cgst.pdf,circulars,Circular No. 252/09/2025,Communication to taxpayers through eOffice - requirement of Document Identification Number (DIN),2025-12-18
cir-253-10-2025-cgst (1).pdf,circulars,Circular No. 253/10/2025,"Withdrawal of circular No. 212/6/2024-GST dated 26th June, 2024 – reg. Kind attention is invited to circular No. 212/6/2024-GST dated 26th June, 20...",2025-12-18
cir-253-10-2025-cgst.pdf,circulars,Circular No. 253/10/2025,"Withdrawal of circular No. 212/6/2024-GST dated 26th June, 2024 – reg. Kind attention is invited to circular No. 212/6/2024-GST dated 26th June, 20...",2025-12-18
cir-cgst-230-2024.pdf,circulars,Circular No. 230/24/2024-GST,Clarification in respect of advertising services provided to foreign clients–reg. References have been received from the trade and industry request...,2025-12-18
cir-cgst-231-2024.pdf,circulars,Circular No. 231/25/2024-GST,Clarification on availability of input tax credit in respect of demo vehicles,2025-12-18
cir-cgst-232-2024.pdf,circulars,Circular No. 232/26/2024-GST,Clarification on place of supply of data hosting services provided by service providers located in India to cloud computing service providers locat...,2025-12-18
cir-cgst-233-2024.pdf,circulars,Circular No. 233/27/2024-GST,"Clarification regarding regularization of refund of IGST availed in contravention of rule 96(10) of CGST Rules, 2017, in cases where the exporters ...",2025-12-18
cir-cgst-234-2024.pdf,circulars,cir-cgst-234-2024,"ClarificationsregardingapplicabilityofGSToncertainservices–reg. BasedontherecommendationsoftheGSTCouncilinits54 th meetingheldon9thSeptember2024,at...",2025-12-18
cir-cgst-235-2024.pdf,circulars,cir-cgst-235-2024,"ClarificationregardingGSTrates& classification(goods)basedontherecommendationsoftheGSTCouncilinits54thmeetingheldon9 th September,2024,atNewDelhi",2025-12-18
cir-cgst-236-2024.pdf,circulars,cir-cgst-236-2024,"Clarificationregardingthescopeof“asis/asis,whereisbasis”mentionedintheGSTCircularsissuedonthebasisofrecommendationoftheGSTCouncilinitsmeetings Inst...",2025-12-18
cir-cgst-239-2024.pdf,circulars,Circular No. 239/33/2024-GST,"Amendment to Circular No. 31/05/2018-GST, dated 9th February, 2018 on 'Proper officer under sections 73 and 74 of the Central Goods and Services Ta...",2025-12-18
cir-cgst-246-03-2025.pdf,circulars,Circular No. 246/03/2025-GST,Clarification on applicability of late fee for delay in furnishing of FORM GSTR-9C,2025-12-18
cir-cgst-corr-237-2024.pdf,circulars,Circular No. 237/31/2024-GST,"Corrigendum to Circular No. 237/31/2024-GST dated 15th October, 2024 issued vide F. No. CBIC-20001/6/2024-GST",2025-12-18
Cir251-13092025 (1).pdf,circulars,Circular No. 251/08/2025-GST,Clarification on various doubts related to treatment of secondary or post-sale discounts under GST,2025-12-18
Cir251-13092025.pdf,circulars,Circular No. 251/08/2025-GST,Clarification on various doubts related to treatment of secondary or post-sale discounts under GST,2025-12-18
circular-cgst-192.pdf,circulars,Circular No. 192/04/2023-GST,"Clarification on charging of interest under section 50(3) of the CGST Act, 2017, in cases of wrong availment of IGST credit and reversal thereof. R...",2025-12-18
circular-cgst-193.pdf,circulars,Circular No. 193/05/2023-GST,Clarification to deal with difference in Input Tax Credit (ITC) availed in FORM GSTR-3B as compared to that detailed in FORM GSTR-2A for the period...,2025-12-18
circular-cgst-194.pdf,circulars,Circular No. 194/06/2023-GST,"Clarification on TCS liability under Sec 52 of the CGST Act, 2017 in case of multiple E-commerce Operators in one transaction. Reference has been r...",2025-12-18
circular-cgst-195.pdf,circulars,Circular No. 195/07/2023-GST,Clarification on availability of ITC in respect of warranty replacement of parts and repair services during warranty period. Representations have b...,2025-12-18
circular-cgst-196.pdf,circulars,Circular No. 196/08/2023-GST,Clarification on taxability of shares held in a subsidiary company by the holding company. Representations have been received from the trade and fi...,2025-12-18
circular-cgst-197.pdf,circulars,Circular No. 197/09/2023-,Clarification on refund related issues. References have been received from the field formations seeking clarification on various issues relating to...,2025-12-18
circular-cgst-198.pdf,circulars,Circular No.  198/10/2023-GST,Clarification on issue pertaining to e-invoice. Representations have been received seeking clarification with respect to applicability of e-invoice...,2025-12-18
circular-cgst-199.pdf,circulars,Circular No. 199/11/2023-GST,Clarification regarding taxability of services provided by an office of an organisation in one State to the office of that organisation in another ...,2025-12-18
Circular-No-12-2023.pdf,circulars,Circular No. 200/12/2023-GST,Clarification regarding GST rates and classification of certain goods based on the recommendations of the GST Council in its 50th meeting held on 1...,2025-12-18
Circular-No-13-2023.pdf,circulars,Circular No. 201/13/2023-GST,Clarifications regarding applicability of GST on certain services – reg. Representations have been received seeking clarifications on the following...,2025-12-18
Circular-No-202-14-2023.pdf,circulars,Circular No. 202/14/2023-GST,Clarification relating to export of services – sub-clause (iv) of the Section 2 (6) of the IGST Act 2017–reg. Various representations have been rec...,2025-12-18
Circular-No-203-15-2023.pdf,circulars,Circular No. 203/15/2023-GST,Clarification regarding determination of place of supply in various cases,2025-12-18
Circular-No-204-16-2023.pdf,circulars,Circular No. 204/16/2023-GST,Clarification on issues pertaining to taxability of personal guarantee and corporate guarantee in GST,2025-12-18
Circular-No-205-17-2023-updated.pdf,circulars,Circular No. 205/17/2023-GST,Clarification regarding GST rate on imitation zari thread or yarn based on the recommendation of the GST Council in its 52ndmeeting held on 7th Oct...,2025-12-18
Circular-No-206-18-2023.pdf,circulars,Circular No. 206/18/2023-GST,Clarifications regarding applicability of GST on certain services – reg. Based on the recommendations of the GST Council in its 52nd meeting held o...,2025-12-18
Circular-No-228-2024.pdf,circulars,Circular-No-228-2024,N/A,2025-12-18
Circular-No-229-2024.pdf,circulars,Circular-No-229-2024,N/A,2025-12-18
Circular-No-237-2024.pdf,circulars,Circular No. 237/31/2024-GST,"Clarifying the issues regarding implementation of provisions of sub -section (5) and sub-section (6) in section 16 of CGST Act, 2017",2025-12-18
Circular-No-238-2024.pdf,circulars,Circular No. 238/32/2024-GST,"Clarification of various doubts related to Section 128A of the CGST Act, 2017. Based on the recommendations of the GST Council made in its 53 rd me...",2025-12-18
Circular-No-240-2024.pdf,circulars,Circular No. 240/34/2024-GST,Clarification in respect of input tax credit availed by electronic commerce operators where services specified under Section 9(5) of Central Goods ...,2025-12-18
Circular-No-241-2024.pdf,circulars,Circular No. 241/35/2024-GST,"Clarification on availability of input tax credit as per clause (b) of sub- section (2) of section 16 of the Central Goods and Services Tax Act, 20...",2025-12-18
